Sentence	Tag	TaggedSentence
To illustrate, the Mistry Committee Report (2007), aiming to make Mumbai a financial hub; the Rajan Committee (2009) on financial sector reforms appointed by the Planning Commission and not RBI; and the RSMPF committee, mandated to complete the report in three months.	NJOB	To illustrate, the Mistry committee Report (2007), aiming to make <LOC> a financial hub; the committee (2009) on financial sector reforms appointed by the planning commission and not <ORG>; and the RSMPF committee, mandated to complete the report in three months.
A search committee to appoint a new head for PFRDA is now on the job.	JOB	A search committee to appoint a new head for <ORG> is now on the job.
Two, Vijayan's appointment marked the end of the rule of civil servants at the helm of Irda.	JOB	Two, <PER>'s appointment marked the end of the rule of civil servants at the helm of <ORG>.
It appointed Raghuram G Rajan governor of the Reserve Bank of India (RBI).	JOB	It appointed <PER> governor of the <ORG> (<ORG>).
Rajan, an economist, was till then working with the finance ministry as the chief economic advisor, but his appointment showed that the government was willing to go beyond the IAS fraternity to look for professionals to become financial sector regulators.	JOB	<PER>, an economist, was till then working with the finance ministry as the chief economic advisor, but his appointment showed that the government was willing to go beyond the IAS fraternity to look for professionals to become financial sector regulators.
Similarly, Yogesh Agarwal, a banker, stepped down as the head of the Pension Funds and Regulatory Development Authority, or PFRDA, under controversial circumstances.	JOB	Similarly, <PER>, a banker, stepped down as the head of the <ORG> , or <ORG>, under controversial circumstances.
Certainly, if there ever is a pause in China's heady growth, today's emerging market turmoil will seem like a mere hiccup compared to the earthquake that will ensue.	NNC	Certainly, if there ever is a pause in <LOC>'s heady growth, today's emerging market turmoil will seem like a mere hiccup compared to the earthquake that will ensue.
You could insulate the banks by changing the way in which bank boards are appointed, and by handing over more supervisory control to the Reserve Bank of India (which today has no say in the appointment of public sector bank chiefs).	NJOB	You could insulate the banks by changing the way in which bank boards are appointed, and by handing over more supervisory control to the <ORG> (which today has no say in the appointment of public sector bank chiefs).
The distinctions between DFIs and banks have also blurred with time after ICICI, which was initially a DFI, became a private sector bank through a reverse merger and the Industrial Development Bank of India (IDBI) did the same to become a public sector bank.	ACQ	The distinctions between <ORG>s and banks have also blurred with time after <ICICI>, which was initially a <ORG>, became a private sector bank through a reverse merger and the <ORG> (<ORG>) did the same to become a public sector bank.
This adversarial tension came to a head in September 1992 when George Soros and other traders sold sterling short (against the Deutsche mark) when it hit its floor in the European Exchange Rate Mechanism (ERM), betting that the Bank of England would not be able to raise rates to defend sterling when the UK economy was on the brink of a recession.	NACQ	This adversarial tension came to a head in September 1992 when <PER> and other traders sold sterling short (against the <ORG> mark) when it hit its floor in the European Exchange Rate Mechanism (ERM), betting that the <ORG> would not be able to raise rates to defend sterling when the <LOC> economy was on the brink of a recession.
They have, in addition, the onerous compulsions of complying with the oversight of India's vigilance apparatus - the Central Vigilance Commission, the Comptroller and Auditor General, the Central Bureau of Investigation - and constraints in self-directed acquisitions on account of the Bank Nationalisation Act.	NACQ	They have, in addition, the onerous compulsions of complying with the oversight of <LOC>'s vigilance apparatus - the <ORG>, the Comptroller and Auditor General, the <ORG> - and constraints in self-directed acquisitions on account of the Bank Nationalisation Act.
India may have weathered the tapering storm for now but the country is far from being on a firmer footing.	NNC	<LOC> may have weathered the tapering storm for now but the country is far from being on a firmer footing.
Banks may reap $100 mn from Lafarge-Holcim Director	ACQ	Bank's may reap $100 mn from <ORG>-<ORG> Director
Goldman Sachs Group Inc (GS), Rothschild and Zaoui & Co are among banks that may split as much as $100 million in fees for their roles advising on the merger of Holcim Ltd and Lafarge SA to create the world's biggest cement maker.	ACQ	<ORG> (<ORG>), <ORG> are among banks that may split as much as $100 million in fees for their roles advising on the merger of <ORG> Ltd and <ORG> to create the world's biggest cement maker.
SBI to offload up to Rs 4,000 cr bad loans to ARCs	ACQ	<ORG> to offload up to Rs 4,000 cr bad loans to ARCs
India's largest banker SBI is selling off its non-performing assets (NPA) of around Rs 3,500 -4,000 crore for the financial year 2013-14 to asset reconstruction companies (ARC).	ACQ	<LOC>'s largest banker <ORG> is selling off its non-performing assets (NPA) of around Rs 3,500 -4,000 crore for the financial year 2013-14 to asset reconstruction companies (ARC).
The NBFC will pool some of the existing employees which is about 13,000 and some would be hired to start banking operation within the 18-month period given by RBI, he said.	NJOB	The <ORG> will pool some of the existing employees which is about 13,000 and some would be hired to start banking operation within the 18-month period given by <ORG>, he said.
P K Bhagat has been appointed the first managing director and chief executive officer of Health Insurance TPA (third-party administrator) of India for a period of two  years or till the time he attains superannuation.	JOB	<PER> has been appointed the first managing director and chief executive officer of <ORG> TPA (third-party administrator) of <LOC> for a period of two  years or till the time he attains superannuation.
IDFC had hired a handful of people at the senior level for the bank.	JOB	<ORG> had hired a handful of people at the senior level for the bank.
Another recent appointment by IDFC was of Avtar Monga as chief operating officer.	JOB	Another recent appointment by <ORG> was of <PER> as chief operating officer.
Statutory auditors, Sarathy & Balu, also withdrew their audit report and resigned.	JOB	Statutory auditors, <PER> & <PER>, also withdrew their audit report and resigned.
The RBI also appointed NC Rajagopal & Co, chartered accountants, to carry out special audit of the books of accounts and transactions undertaken by the company from the year ended March 31, 2010.	JOB	The <ORG> also appointed <ORG>, chartered accountants, to carry out special audit of the books of accounts and transactions undertaken by the company from the year ended March 31, 2010.
Following the resignation of Muthiah, Justice S Mohan was appointed as chairman, who resigned from the company on March 5, 2014.	JOB	Following the resignation of <PER>, <PER> was appointed as chairman, who resigned from the company on March 5, 2014.
The board of directors have also appointed R K Raghavan, former director of Central Bureau of Investigation (CBI), to conduct a forensic audit to find out diversion of funds so as to initiate both criminal and civil action against persons whom the forensic audit report may identify, said Selvaraj.	JOB	The board of directors have also appointed <PER>, former director of <ORG> (<ORG>), to conduct a forensic audit to find out diversion of funds so as to initiate both criminal and civil action against persons whom the forensic audit report may identify, said <PER>.
Govt appoints R Gandhi as RBI deputy governor	JOB	Govt appoints <PER> as <ORG> deputy governor
Apart from banking operations and development, R Gandhi will be in-charge of non-banking supervision, urban banks, expenditure and budgetary control, and information technology, among others	JOB	Apart from banking operations and development, <PER> will be in-charge of non-banking supervision, urban banks, expenditure and budgetary control, and information technology, among others
The government has appointed R Gandhi as deputy governor of the Reserve Bank of India (RBI).	JOB	The government has appointed <PER> as deputy governor of the <ORG> (<ORG>).
R Gandhi appointed Deputy Governor of RBI	JOB	<PER> appointed Deputy Governor of <ORG>
Gandhi was Executive Director of the Reserve Bank before being elevated to the post of Deputy Governor	JOB	<PER> was Executive Director of the <ORG> before being elevated to the post of Deputy Governor
The government has appointed R Gandhi as deputy governor of Reserve Bank of India ( RBI ).	JOB	The government has appointed <PER> as deputy governor of <ORG> ( <ORG> ).
Operating expenses of the company have remained lowest among similar microfinance institutions (four per cent in the first half of 2013-14), supported by low branch costs, a decentralised business model and head office staff accounting for less than 1 per cent of the total employee base, adds the Icra rating.	NJOB	Operating expenses of the company have remained lowest among similar microfinance institutions (four per cent in the first half of 2013-14), supported by low branch costs, a decentralised business model and head office staff accounting for less than 1 per cent of the total employee base, adds the <ORG> rating.
Aditya Birla group Chairman Kumar Mangalam Birla even resigned from RBIâ€™s board in July last year to avoid any allegations of a conflict of interest.	JOB	<ORG> Chairman <PER> even resigned from <ORG>'s board in July last year to avoid any allegations of a conflict of interest.
"""Once they (EC) say there is no issue there, RBI will be in a position to announce the bank licences very quickly, after taking it to the committee of the central board (CCB),"" Rajan said."	NJOB	"""Once they (EC) say there is no issue there, <ORG> will be in a position to announce the bank licences very quickly, after taking it to the committee of the central board (CCB), “ <PER> said."
Earlier, the central bank had appointed a panel headed by RBI Deputy Governor Urjit Patel to revise and strengthen the monetary policy framework.	NJOB	Earlier, the central bank had appointed a panel headed by <ORG> Deputy Governor <PER> to revise and strengthen the monetary policy framework.
"Voting will be held over nine days starting on April 7 and ending on May 12, with counting on May 16. ""Once they (EC) say there is no issue there, they (RBI) would be in a position to announce the bank licences very quickly after taking it to the committee of the central board,"" he said."	NJOB	"Voting will be held over nine days starting on April 7 and ending on May 12, with counting on May 16. ""Once they (EC) say there is no issue there, they (<ORG>) would be in a position to announce the bank licences very quickly after taking it to the committee of the central board,"" he said."
State Bank of India (SBI), the country's largest lender, has board approval for the merger of its five associates with itself.	ACQ	<ORG> (<ORG>), the country's largest lender, has board approval for the merger of its five associates with itself.
RBI has also suggested the government and the regulator donâ€™t involve themselves in the process of appointing the senior management at these banks, and also withdraw from the boards of public sector banks.	NJOB	<ORG> has also suggested the government and the regulator don't involve themselves in the process of appointing the senior management at these banks, and also withdraw from the boards of public sector banks.
We are interested in increasing stake in Shriram: Johan Van Zyl	ACQ	We are interested in increasing stake in <ORG>: <PER>
Interview with Group Chief Executive, Sanlam Group	ACQ	Interview with Group Chief Executive, <ORG>
South Africa-based financial services group Sanlam, which had invested around Rs 2,500 crore in the Shriram Group's financial service businesses in 2012, has vibrant plans for future investments.	ACQ	<LOC>-based financial services group <ORG>, which had invested around Rs 2,500 crore in the <ORG>'s financial service businesses in 2012, has vibrant plans for future investments.
Earlier, Shriram Group said Sanlam and Shriram together would look at acquisitions in Southeast Asia?	ACQ	Earlier, <ORG> said <ORG> and <ORG> together would look at acquisitions in <LOC>?
Capping the losses in the rupee, the Asian currencies were stronger with the latest U.S. jobs report not seen as strong enough to raise expectations of an early rate hike by the Federal Reserve.	NJOB	Capping the losses in the rupee, the Asian currencies were stronger with the latest <LOC> jobs report not seen as strong enough to raise expectations of an early rate hike by the <ORG>.
Many more entities will get banking licences: G S Sandhu	NJOB	Many more entities will get banking licences: <PER>
Interview with Secretary, Department of Financial Services	NJOB	Interview with Secretary, Department of Financial Services
The Reserve Bank of India ( RBI ) on Wednesday granted in-principle licences to infrastructure lender IDFC and microfinance company Bandhan Financial Services to set up banks, but left out large companies such as Aditya Birla Nuvo, L&T Finance Holdings and Reliance Capital.	NJOB	The <ORG> ( <ORG> ) on Wednesday granted in-principle licences to infrastructure lender <ORG> and microfinance company <ORG> to set up banks, but left out large companies such as <ORG>, <ORG> and <ORG>.
Agarwal was appointed PFRDA chairman for five years in June 2010, after he had served as the chairman of IDBI Bank.	JOB	Agarwal was appointed <ORG> chairman for five years in June 2010, after he had served as the chairman of <ORG>.
It simply stated that Yogesh Agarwal had resigned as the Chairman of Pension Fund Regulatory Development Authority (PFRDA) during the day and Anup Wadhawan, joint secretary in the department of financial services, had been given additional charge of the regulator till a replacement is found.	JOB	It simply stated that <PER> had resigned as the Chairman of <ORG> (<ORG>) during the day and <PER>, joint secretary in the department of financial services, had been given additional charge of the regulator till a replacement is found.
While Agarwal said he was asked to resign, the finance ministry maintained he had offered to quit.	JOB	While <PER> said he was asked to resign, the <ORG> maintained he had offered to quit.
Our presence there is courtesy the corporate membership of the Indian Council for Research on International Economic Relations where Gulati was appointed chair professor, agriculture a couple of days before.	JOB	Our presence there is courtesy the corporate membership of the Indian Council for Research on International Economic Relations where <PER> was appointed chair professor, agriculture a couple of days before.
Narain, who chaired CACP twice in the 1970s, joined the global think tank International Food Policy Research Institute after he retired, heading the same division Gulati did several decades later (â€œmy career in reverse!â€).	JOB	Narain, who chaired <ORG> twice in the 1970s, joined the global think tank <ORG> after he retired, heading the same division <PER> did several decades later (my career in reverse).
Rajeev Kher appointed Commerce Secretary	JOB	<PER> appointed Commerce Secretary
Rajeev Kher, a 1980 batch IAS officer, was today appointed Secretary in the Department of Commerce.	JOB	<PER>, a 1980 batch <ORG> officer, was today appointed Secretary in the Department of Commerce.
Ore contract stopped for tiger's sake The Supreme Court has dismissed the appeal of Steel Authority of India Ltd (SAIL) and directed it to refund the amounts paid by Tycoon Traders which had bought 1100,000 tonnes of iron ore from Kemmanagundi mines in Karnataka in an e-auction.	NACQ	Ore cntract stopped for tiger's sake The Supreme Court has dismissed the appeal of <ORG>(<ORG>) and directed it to refund the amounts paid by <ORG> Traders which had bought 1100,000 tonnes of iron ore from <LOC> mines in <LOC> in an e-auction.
According to the OECD, tax laws of individual countries have not kept pace with global corporations, fluid capital, and the digital economy, leaving gaps that can be exploited by companies which avoid taxation in their home countries by pushing activities abroad to low or no tax jurisdictions.	NJOB	According to the <ORG>, tax laws of individual countries have not kept pace with global corporations, fluid capital, and the digital economy, leaving gaps that can be exploited by companies which avoid taxation in their home countries by pushing activities abroad to low or no tax jurisdictions.
In implementing the World Trade Organization's TRIPs (Trade-related Intellectual Property Rights) agreement, India's domestic patent law was strengthened from virtually no protection for pharmaceutical product patents to some protection.	NVNSP	In implementing the <ORG>'s TRIPs (Trade-related Intellectual Property Rights) agreement, <LOC>'s domestic patent law was strengthened from virtually no protection for pharmaceutical product patents to some protection.
He is also credited with boosting India's naval power by acquiring the P-8I Maritime Surveillance Aircraft; inducting 28 ships, including six modern frigates; and launching GSAT-7, the navy's dedicated communications satellite.	NACQ	He is also credited with boosting <LOC>'s naval power by acquiring the P-8I Maritime Surveillance Aircraft; inducting 28 ships, including six modern frigates; and launching GSAT-7, the <ORG>'s dedicated communications satellite.
He said MPEDA has decided to tie up with established brands for promoting Indian seafood products and, as a preliminary step, it signed a co-branding agreement with Sysco Corporation Inc for the promotion of Indian Black Tiger Shrimp in the United States a few years ago.	VNSP	He said <ORG> has decided to tie up with established brands for promoting <ORG> seafood products and, as a preliminary step, it signed a co-branding agreement with <ORG> for the promotion of <LOC>n Black Tiger Shrimp in the <LOC> a few years ago.
If Jamie Dimon's JPMorgan Chase & Co was willing to risk a scandal by hiring well-connected Chinese kids, what will it do if economists threaten its access to Beijing?	NJOB	If <PER> <ORG> was willing to risk a scandal by hiring well-connected <LOC> kids, what will it do if economists threaten its access to <LOC>?
Reminder to Rajan on MSME exports	NJOB	Reminder to <PER> on <ORG> exports
Raghuram Rajan took over as governor of the Reserve Bank of India (RBI) about five months earlier.	JOB	<PER> took over as governor of the <ORG> (<ORG>) about five months earlier.
DGSCL had acquired loans to the tune of Rs 1,600 crore from a consortium of lenders led by IDFC without informing NHAI when the concession agreement clearly stipulated the need of a developer to inform NHAI when it raised funds.	NACQ	<ORG> had acquired loans to the tune of Rs 1,600 crore from a consortium of lenders led by <ORG> without informing <ORG> when the concession agreement clearly stipulated the need of a developer to inform <ORG> when it raised funds.
For instance, the finance ministry will garner around Rs 5,000 crore by selling a 10-per cent stake in Indian Oil Corporation to ONGC and OIL India.	ACQ	For instance, the finance ministry will garner around Rs 5,000 crore by selling a 10-per cent stake in <ORG> to <ORG> and <ORG>.
