Title	Sentence	Tag	TaggedSentence
ChinaEdu Corporation Announces Completion of Merger	"Under the terms and conditions of the Merger Agreement, which was approved by the Company's shareholders at an extraordinary general meeting held on April 18, 2014, each of the Company's ordinary shares, par value $0.01 per share (the ""Shares"") (including Shares represented by American depositary shares (""ADSs"")) issued and outstanding immediately prior to the effective time of the merger has been cancelled in exchange for the right to receive $2.33 per Share or $7.00 per ADS, in each case, in cash, without interest and net of any applicable withholding taxes, except for (a) all Shares owned immediately prior to the effective time of the merger by Shawn Ding, Moral Known Industrial Limited, Julia Huang, South Lead Technology Limited, GegengTana, Mei Yixin, Pan Zhixin, Ellen Huang, InterVision Technology Ltd., MLP Holdings Limited, New Value Technology Limited, Lingyuan Furong Investment Mgmt Co., Ltd., McGraw-Hill Global Education Intermediate Holdings, LLC, Weblearning Company Limited and Guo Young (the ""Rollover Shareholders""), which were subject to a contribution agreement whereby such shareholders agreed to contribute such Shares (except, in the case of McGraw-Hill Global Education Intermediate Holdings, LLC, limited to 3,377,336 Shares held by it) (the ""Rollover Shares"") to Holdings, which contributed Rollover Shares, in accordance with the contribution agreement, were exchanged for the right to subscribe for the ordinary shares of Holdings, (b) Shares and ADSs beneficially owned immediately prior to the effective time of the merger by the Company as treasury shares, held in brokerage accounts in the Company's name, or issued to The Bank of New York Mellon (""BNY Mellon"") and reserved for future grants under the Company's 2010 Equity Incentive Plan, and (c) Shares owned by shareholders who have validly exercised and perfected and not effectively withdrawn or lost their appraisal or other rights pursuant to Section 238 of the Cayman Companies Law, as amended."	ACQ	"under the terms and conditions of the merger agreement, which was approved by the company's shareholders at an extraordinary general meeting held on april 18, 2014, each of the company's ordinary shares, par value $0.01 per share (the ""shares"") (including shares represented by american depositary shares (""adss"")) issued and outstanding immediately prior to the effective time of the merger has been cancelled in exchange for the right to receive $2.33 per share or $7.00 per ads, in each case, in cash, without interest and net of any applicable withholding taxes, except for (a) all shares owned immediately prior to the effective time of the merger by shawn ding, moral known industrial limited, julia huang, south lead technology limited, gegengtana, mei yixin, <per>, <per>, intervision technology ltd., <org>, <org>, lingyuan furong investment mgmt co., ltd., <org>, llc, <org> and <per> (the ""rollover shareholders""), which were subject to a contribution agreement whereby such shareholders agreed to contribute such shares (except, in the case of <org>, llc, limited to 3,377,336 shares held by it) (the ""rollover shares"") to holdings, which contributed rollover shares, in accordance with the contribution agreement, were exchanged for the right to subscribe for the ordinary shares of holdings, (b) shares and adss beneficially owned immediately prior to the effective time of the merger by the company as treasury shares, held in brokerage accounts in the company's name, or issued to the bank of new york mellon (""<org>"") and reserved for future grants under the company's 2010 equity incentive plan, and (c) shares owned by shareholders who have validly exercised and perfected and not effectively withdrawn or lost their appraisal or other rights pursuant to section 238 of the cayman companies law, as amended."
Intralinks Acquires Document Security Leader docTrackr	Intralinks® Holdings, Inc. (NYSE: IL), a global SaaS provider of inter-enterprise content management and collaboration solutions, today announced the acquisition of docTrackr, a leading provider of document security solutions.	ACQ	<loc>, apr<loc> 23, 2014 /prnewswire/ -- <org> (<org>: <loc>), a global saas provider of inter-enterprise content management and collaboration solutions, today announced the acquisition of doctrackr, a leading provider of document security solutions.
LCA-Vision Announces ISS and Glass, Lewis Recommend Stockholders Vote in Favor of $5.37 per share Cash Acquisition by PhotoMedex	LCA-Vision Announces ISS and Glass, Lewis Recommend Stockholders Vote in Favor of $5.37 per share Cash Acquisition by PhotoMedex.	ACQ	lca-vision announces <org> and glass, <per> recommend stockholders vote in favor of $5.37 per share cash acquisition by <org>.
LCA-Vision Announces ISS and Glass, Lewis Recommend Stockholders Vote in Favor of $5.37 per share Cash Acquisition by PhotoMedex	LCA-Vision Inc. (NASDAQ: LCAV), a leading provider of laser vision correction services under the LasikPlus brand, today announced that two leading proxy advisory firms, ISS Proxy Advisory Services and Glass, Lewis & Co., has each issued a recommendation that LCA-Vision Inc. stockholders vote in favor of all proposals related to its acquisition by PhotoMedex, Inc. for $5.37 per share in cash at its Special Meeting of Stockholders scheduled to be held on May 7, 2014.	ACQ	<loc>, april 23, 2014 /prnewswire/ -- <org> (nasdaq: lcav), a leading provider of laser vision correction services under the lasikplus brand, today announced that two leading proxy advisory firms, <org> proxy advisory services and glass, <per> & co., has each <org>ued a recommendation that <org> stockholders vote in favor of all proposals related to its acquisition by <org> for $5.37 per share in cash at its special meeting of stockholders scheduled to be held on may 7, 2014.
LCA-Vision Announces ISS and Glass, Lewis Recommend Stockholders Vote in Favor of $5.37 per share Cash Acquisition by PhotoMedex	On February 13, 2014, LCA-Vision Inc. and PhotoMedex, Inc. entered into an Agreement and Plan of Merger providing for the acquisition of LCA-Vision by PhotoMedex.	ACQ	on february 13, 2014, <org> and <org> entered into an agreement and plan of merger providing for the acquisition of lca-vision by <org>.
LCA-Vision Announces ISS and Glass, Lewis Recommend Stockholders Vote in Favor of $5.37 per share Cash Acquisition by PhotoMedex	These risks, uncertainties and other factors, including PhotoMedex's ability to consummate the announced acquisition of LCA-Vision, unexpected costs or unexpected liabilities that may arise from the announced acquisition, and the general risks associated with the businesses of PhotoMedex and LCA-Vision described in the reports and other documents filed with the SEC, could cause actual results to differ materially from those referred to, implied or expressed in the forward-looking statements.	ACQ	these risks, uncertainties and other factors, including <org>'s ability to consummate the announced acquisition of lca-vision, unexpected costs or unexpected liabilities that may arise from the announced acquisition, and the general risks associated with the businesses of <org> and lca-vision described in the reports and other documents filed with the <org>, could cause actual results to differ materially from those referred to, implied or expressed in the forward-looking statements.
LCA-Vision Announces ISS and Glass, Lewis Recommend Stockholders Vote in Favor of $5.37 per share Cash Acquisition by PhotoMedex	"LCA-Vision Inc. (""LCA-Vision"") and its directors and officers may be deemed to be participants in the solicitation of proxies for the special meeting of LCA-Vision stockholders to be held on May 7, 2014 to approve the merger of LCA-Vision with a subsidiary of PhotoMedex, Inc. (""PhotoMedex"")."	ACQ	"<org> (""lca-vision"") and its directors and officers may be deemed to be participants in the solicitation of proxies for the special meeting of lca-vision stockholders to be held on may 7, 2014 to approve the merger of lca-vision with a subsidiary of <org> (""<org>"")."
Quest Diagnostics Extends Partnership with Steward Health Care System	Quest Diagnostics (NYSE: DGX), the world's leading provider of diagnostic information services, and Steward Health Care System LLC (Steward), New England's largest community-based accountable care organization and one of the nation's largest Pioneer ACOs, today announced that Quest has acquired the remainder of Steward's outreach laboratory service operations.	ACQ	madison, n.j. and <loc>, april 23, 2014 /prnewswire/ -- <org> (<org>: dgx), the world's leading provider of diagnostic information services, and <org> (<per>), <loc>'s largest community-based accountable care organization and one of the nation's largest <loc> acos, today announced that quest has acquired the remainder of <per>'s outreach laboratory service operations.
Quest Diagnostics Extends Partnership with Steward Health Care System	In 2009, Quest acquired Caritas Medical Laboratories, an affiliate of Caritas Christi Health System.	ACQ	in 2009, quest acquired <org>, an affiliate of <org>.
Florida East Coast Railway Corp. Announces Initial Results of its Cash Tender Offer for any and all of its Outstanding 8 1/8% Senior Secured Notes Due 2017	"Florida East Coast Railway Corp. (the ""Company"") announced today the initial results of its previously announced cash tender offer to purchase any and all of its outstanding 8 1/8% Senior Secured Notes due 2017 (referred to below as the ""notes"") tendered and not withdrawn by the early tender date."	NACQ	"<loc>, <loc>, april 23, 2014 /prnewswire/ -- <loc> east <org> (the ""company"") announced today the initial results of its previously announced cash tender offer to <loc> any and all of its outstanding 8 1/8% senior secured notes due 2017 (referred to below as the ""notes"") tendered and not withdrawn by the early tender date."
Florida East Coast Holdings Corp. Announces Initial Results of its Cash Tender Offer for any and all of its Outstanding 10 1/2% / 11 1/4% Senior PIK Toggle Notes due 2017	"Florida East Coast Holdings Corp. (the ""Company"") announced today the initial results of its previously announced cash tender offer to purchase any and all of its outstanding 10 1/2% / 11 1/4% Senior PIK Toggle Notes due 2017 (referred to below as the ""notes"") tendered and not withdrawn by the early tender date."	NACQ	"<loc>, <loc>, april 23, 2014 /prnewswire/ -- <loc> east <org> (the ""company"") announced today the initial results of its previously announced cash tender offer to <loc> any and all of its outstanding 10 1/2% / 11 1/4% senior pik toggle notes due 2017 (referred to below as the ""notes"") tendered and not withdrawn by the early tender date."
Notice To The Market - Marfrig Announces Tender Results And Settlement Date Of The Cash Tender Offer For Up To U.S.$100.0 Million In Aggregate Principal Amount Of The Outstanding 11.250% Senior Notes Due 2021 And Cash Tender Offer For Up To The 2017	"Marfrig Global Foods S.A. (""Marfrig""), Marfrig Holdings (Europe) B.V. (the ""Issuer""), Banco Bradesco BBI S.A., BTG Pactual US Capital LLC, Deutsche Bank Securities Inc. and Morgan Stanley & Co. LLC (together, the ""Dealer Managers"") today announced the tender results in connection with, and the expected settlement date of, the Issuer's previously-announced (i) offer by the Issuer to purchase for cash (the ""2021 Notes Tender Offer"") up to U.S.$100.0 million in aggregate principal amount (the ""2021 Notes Maximum Tender Amount"") of the outstanding 11.250% Senior Notes due 2021 (the ""2021 Notes"") of the Issuer, and (ii) offer to purchase for cash (the ""2017 Notes Tender Offer"" and, together with the 2021 Notes Tender Offer, the ""Tender Offers"") the outstanding 9.875% Senior Notes due 2017 (the ""2017 Notes"" and, together with the 2021 Notes, the ""Notes"") of the Issuer in an aggregate principal amount such that the aggregate principal amount of the 2017 Notes accepted for purchase does not exceed (1) U.S.$130.0 million less (2) the aggregate principal amount of the 2021 Notes validly tendered and accepted for purchase pursuant to the 2021 Notes Tender Offer (the ""2017 Notes Maximum Tender Amount"")."	NACQ	"<loc>, april 23, 2014 /prnewswire/ -- <org> (""<per>""), <org> (<loc>) b.v. (the ""issuer""), <org>, <org>, <org> and <org>. llc (together, the ""dealer managers"") today announced the tender results in connection with, and the expected settlement date of, the issuer's previously-announced (i) offer by the issuer to <loc> for cash (the ""2021 notes tender offer"") up to u.s.$100.0 million in aggregate principal amount (the ""2021 notes maximum tender amount"") of the outstanding 11.250% senior notes due 2021 (the ""2021 notes"") of the issuer, and (ii) offer to <loc> for cash (the ""2017 notes tender offer"" and, together with the 2021 notes tender offer, the ""tender offers"") the outstanding 9.875% senior notes due 2017 (the ""2017 notes"" and, together with the 2021 notes, the ""notes"") of the issuer in an aggregate principal amount such that the aggregate principal amount of the 2017 notes accepted for <loc> does not exceed (1) u.s.$130.0 million less (2) the aggregate principal amount of the 2021 notes validly tendered and accepted for <loc> pursuant to the 2021 notes tender offer (the ""2017 notes maximum tender amount"")."
MEGA Brands' shareholders approve arrangement with Mattel	"MEGA Brands Inc. (TSX: MB) (""MEGA"" or the ""Corporation"") today announced that its shareholders (the ""Shareholders"") have approved a resolution authorizing the previously announced plan of arrangement (the ""Arrangement"") providing for, among other things, the acquisition by Mattel-MEGA Holdings Inc., a wholly-owned subsidiary of Mattel, Inc., of all of the outstanding common shares in the capital of MEGA for cash consideration of CA$17.75 per common share."	ACQ	"<loc>, april 23, 2014 /prnewswire/ - <org> (tsx: mb) (""<org>"" or the ""corporation"") today announced that its shareholders (the ""shareholders"") have approved a resolution authorizing the previously announced plan of arrangement (the ""arrangement"") providing for, among other things, the acquisition by <org>, a wholly-owned subsidiary of <org>, of all of the outstanding common shares in the capital of <org> for cash consideration of ca$17.75 per common share."
Dimension Data Acquires US-Based Nexus	Dimension Data, the $6 billion global ICT solutions and services provider, today announced that it has acquired 100 percent of Nexus for an undisclosed sum.	ACQ	<loc>, april 23, 2014 /prnewswire/ -- <org>, the $6 billion global <org> solutions and services provider, today announced that it has acquired 100 percent of nexus for an undisclosed sum.
Dimension Data Acquires US-Based Nexus	The acquisition of Nexus expands Dimension Data's operations in the US by 40 percent and significantly increases the company's presence in the West, Southwest and Southeast regions of the country.	ACQ	the acquisition of nexus expands <org>'s operations in the us by 40 percent and significantly increases the company's presence in the <loc>, <org> and southeast regions of the country.
Genpact to Acquire Leading Regulatory Affairs Company in Life Sciences	Genpact Ltd. (NYSE: G), a global leader in transforming and running business processes and operations, today announced it has signed a definitive agreement to acquire Pharmalink Consulting, a leading global provider of regulatory services to the life sciences industry for more than 15 years.	ACQ	<loc>, april 23, 2014 /prnewswire/ -- <org> (nyse: g), a global leader in transforming and running business processes and operations, today announced it has signed a definitive agreement to acquire <per> consulting, a leading global provider of regulatory services to the <org> industry for more than 15 years.
Dimension Data Acquires US-Based Nexus	Note to editorsOn 3 February this year, Dimension Data announced it had acquired 100 percent of NextiraOne for an undisclosed sum.	ACQ	note to editorson 3 february this year, <org> announced it had acquired 100 percent of <org> for an undisclosed sum.
PR Firm Lambert, Edwards & Associates Acquires Sterling Corporation, Creates Michigan's Top Public Affairs and Issues Management Firm	Building on its position as Michigan's leading PR firm, Lambert, Edwards & Associates (LE&A) today announced it has acquired Lansing, Mich.-based public policy and issues management firm Sterling Corporation.	ACQ	<loc>, <loc>, april 24, 2014 /prnewswire/ -- building on its position as <loc>'s leading pr firm, <per>, <org> (le&a) today announced it has acquired <loc>, <loc>-based public policy and issues management firm sterling corporation.
Zimmer Holdings, Inc. to Combine with Biomet, Inc. in Transaction Valued at $13.35 Billion	"Zimmer Holdings, Inc. (NYSE and SIX: ZMH) (""Zimmer"" or the ""Company"") and Biomet, Inc.'s parent company (""Biomet"") today announced that their respective Boards of Directors have approved a definitive agreement under which Zimmer will acquire Biomet in a cash and stock transaction valued at approximately $13.35 billion, including the assumption of net debt."	ACQ	"<loc>, <loc>, april 24, 2014 /prnewswire/ -- <org> (<org> and six: zmh) (""<per>"" or the ""company"") and <org>'s parent company (""<org>"") today announced that their respective <org>s of directors have approved a definitive agreement under which <per> will acquire <org> in a cash and stock transaction valued at approximately $13.35 billion, including the assumption of net debt."
Zimmer Holdings, Inc. to Combine with Biomet, Inc. in Transaction Valued at $13.35 Billion	"Such forward-looking statements include, but are not limited to, statements about the benefits of the proposed merger between Zimmer and LVB Acquisition, Inc. (""LVB""), the parent company of Biomet, including future financial and operating results, the combined company's plans, objectives, expectations and intentions, the expected timing of completion of the transaction and other statements that are not historical facts."	ACQ	"such forward-looking statements include, but are not limited to, statements about the benefits of the proposed merger between <per> and <org> (""lvb""), the parent company of <org>, including future financial and operating results, the combined company's plans, objectives, expectations and intentions, the expected timing of completion of the transaction and other statements that are not historical facts."
Zimmer Holdings, Inc. to Combine with Biomet, Inc. in Transaction Valued at $13.35 Billion	"These risks and uncertainties include, but are not limited to: the possibility that the anticipated synergies and other benefits from the proposed merger of Zimmer and LVB will not be realized, or will not be realized within the expected time periods; the inability to obtain regulatory approvals of the merger (including the approval of antitrust authorities necessary to complete the transaction) on the terms desired or anticipated; the timing of such approvals and the risk that such approvals may result in the imposition of conditions that could adversely affect the combined company or the expected benefits of the transaction; the risk that a condition to closing the transaction may not be satisfied on a timely basis or at all; the risk that the proposed transaction fails to close for any other reason; the risks and uncertainties related to Zimmer's ability to successfully integrate the operations, products and employees of Zimmer and Biomet; the effect of the potential disruption of management's attention from ongoing business operations due to the pending merger; the effect of the announcement of the proposed merger on Zimmer's and Biomet's relationships with their respective customers, vendors and lenders and on their respective operating results and businesses generally; risks relating to the value of the Zimmer shares to be issued in the transaction; access to available financing (including financing for the acquisition or refinancing of Zimmer's or Biomet's debt) on a timely basis and on reasonable terms; the outcome of any legal proceedings related to the proposed merger; the risks and uncertainties normally incidental to the orthopaedic industry, including price and product competition; the success of the companies' quality and operational excellence initiatives; changes in customer demand for Zimmer's or Biomet's products and services caused by demographic changes or other factors; the impact of healthcare reform measures, including the impact of the U.S. excise tax on medical devices; reductions in reimbursement levels by third-party payors and cost containment efforts of healthcare purchasing organizations; dependence on new product development, technological advances and innovation; shifts in the product category or regional sales mix of Zimmer's or Biomet's products and services; supply and prices of raw materials and products; control of costs and expenses; the ability to obtain and maintain adequate intellectual property protection; the ability to form and implement alliances; challenges relating to changes in and compliance with governmental laws and regulations, including regulations of the U.S. Food and Drug Administration (the ""FDA"") and foreign government regulators, such as more stringent requirements for regulatory clearance of products; the ability to remediate matters identified in any inspectional observations or warning letters issued by the FDA; changes in tax obligations arising from tax reform measures or examinations by tax authorities; product liability and intellectual property litigation losses; the ability to retain the independent agents and distributors who market Zimmer's and Biomet's products; dependence on a limited number of suppliers for key raw materials and outsourced activities; changes in general industry and market conditions, including domestic and international growth rates and general domestic and international economic conditions, including interest rate and currency exchange rate fluctuations; and the impact of the ongoing economic uncertainty affecting countries in the Euro zone on the ability to collect accounts receivable in affected countries."	ACQ	"these risks and uncertainties include, but are not limited to: the possibility that the anticipated synergies and other benefits from the proposed merger of <per> and lvb will not be realized, or will not be realized within the expected time periods; the inability to obtain regulatory approvals of the merger (including the approval of antitrust authorities necessary to complete the transaction) on the terms desired or anticipated; the timing of such approvals and the risk that such approvals may result in the imposition of conditions that could adversely affect the combined company or the expected benefits of the transaction; the risk that a condition to closing the transaction may not be satisfied on a timely basis or at all; the risk that the proposed transaction fails to close for any other reason; the risks and uncertainties related to <per>'s ability to successfully integrate the operations, products and employees of <per> and <org>; the effect of the potential disruption of management's attention from ongoing business operations due to the pending merger; the effect of the announcement of the proposed merger on <per>'s and <org>'s relationships with their respective customers, vendors and lenders and on their respective operating results and businesses generally; risks relating to the value of the <per> shares to be issued in the transaction; access to available financing (including financing for the acquisition or refinancing of <per>'s or <org>'s debt) on a timely basis and on reasonable terms; the outcome of any legal proceedings related to the proposed merger; the risks and uncertainties normally incidental to the orthopaedic industry, including price and product competition; the success of the companies' quality and operational excellence initiatives; changes in customer demand for <per>'s or <org>'s products and services caused by demographic changes or other factors; the impact of healthcare reform measures, including the impact of the u.s. excise tax on medical devices; reductions in reimbursement levels by third-party payors and cost containment efforts of healthcare purchasing organizations; dependence on new product development, technological advances and innovation; shifts in the product category or regional sales mix of <per>'s or <org>'s products and services; supply and prices of raw materials and products; control of costs and expenses; the ability to obtain and maintain adequate intellectual property protection; the ability to form and implement alliances; challenges relating to changes in and compliance with governmental laws and regulations, including regulations of the <org> (the ""<org>"") and foreign government regulators, such as more stringent requirements for regulatory clearance of products; the ability to remediate matters identified in any inspectional observations or warning letters issued by the <org>; changes in tax obligations arising from tax reform measures or examinations by tax authorities; product liability and intellectual property litigation losses; the ability to retain the independent agents and distributors who market <per>'s and <org>'s products; dependence on a limited number of suppliers for key raw materials and outsourced activities; changes in general industry and market conditions, including domestic and international growth rates and general domestic and international economic conditions, including interest rate and currency exchange rate fluctuations; and the impact of the ongoing economic uncertainty affecting countries in the euro zone on the ability to collect accounts receivable in affected countries."
Pernod looks for more bolt-on deals after U.S. buy	 Pernod Ricard said it was buying Kenwood Vineyards to beef up its premium wines portfolio in the United States, the French drinks company's biggest market, and was looking for more small-scale acquisitions.	ACQ	<loc> (<org>) - <org> ricard said it was buying <org> to beef up its premium wines portfolio in the <loc>, the french drinks company's biggest market, and was looking for more small-scale acquisitions.
Pernod looks for more bolt-on deals after U.S. buy	"The acquisition of Sonoma Valley, California-based Kenwood, worth less than $100 million, would allow Pernod Ricard, to join the top 15 U.S. wine makers and gain share in a U.S. market that Chief Financial Officer Gilles Bogaert said was ""very fragmented""."	ACQ	"the acquisition of <loc>, california-based <org>, worth less than $100 million, would allow <org> ricard, to join the top 15 u.s. wine makers and gain share in a u.s. market that chief financial officer <per> said was ""very fragmented""."
Pernod looks for more bolt-on deals after U.S. buy	Since its last major acquisition - the purchase of Swedish group Vin & Sprit, owner of Absolut Vodka, in 2008 for 5.7 billion euros - Pernod has focused on cutting debt.	ACQ	since its last major acquisition - the purchase of swedish group <org>, owner of <org>, in 2008 for 5.7 billion euros - <org> has focused on cutting debt.
Sirius XM revenue beats estimates as it adds more subscribers	John Malone-controlled Liberty Media Corp, which owns 53 percent of Sirius, canceled an offer to buy the rest of the satellite radio provider in March.	ACQ	<per> malone-controlled <org>, which owns 53 percent of <org>, canceled an offer to buy the rest of the satellite radio provider in march.
UPDATE 1-Russia's Yandex first-quarter net profit rises 19 pct	On a like-for-like basis, excluding the impact of Yandex.Money, in which Yandex sold a 75-percent stake to Sberbank in 2013, sales grew 39 percent.	NACQ	on a like-for-like basis, excluding the impact of <org>.money, in which <org> sold a 75-percent stake to <org> in 2013, sales grew 39 percent.
RPT-Apple resets the clock as investors await next big thing	But now, as Google Inc spends billions to buy up technology from robotics to artificial intelligence, and Samsung Electronics Co Ltd and other Android-device makers swallow chunks of Apple's market share, some are impatient to see what Apple can come up with next.	NACQ	but now, as <org> spends billions to buy up technology from robotics to artificial intelligence, and <org> and other android-device makers swallow chunks of <org>'s market share, some are impatient to see what <org> can come up with next.
Zimmer to buy Biomet in $13.35 bln deal	Medical device maker Zimmer Holdings Inc said it would acquire orthopedic products company Biomet Inc in a deal valued at about $13.35 billion.	ACQ	april 24 (<org>) - medical device maker <org> said it would acquire orthopedic products company <org> in a deal valued at about $13.35 billion.
