Sentence	Tag
INTECH Adds New Consultant-Relations Representative  WEST PALM BEACH, Fla., April 16, 2014 /PRNewswire/ -- INTECH Investment Management LLC (INTECH) announced today the addition of Adam Craig, CFA, to its consultant relations team.	JOB
Since 1987, INTECH has been generating alpha by taking advantage of stock-price volatility while limiting relative risk and trading costs.	NONE
"INTECH was named a ""Best Places to Work in Money Management"" company by Pensions & Investments."	NONE
"About Janus Capital Group Inc.Janus Capital Group (JCG) is a global investment firm offering strategies from three individual investment boutiques: Janus Capital Management LLC (""Janus""), INTECH Investment Management LLC (""INTECH"") and Perkins Investment Management LLC (""Perkins"")."	NONE
Frozen Food Gift Group, Inc. Analyst Research Report: Steer Clear of this Reverse Merger by BrokerBank Securities, Inc.	ACQ
Rightscorp Secures Agreement with Rotten Records to Monitor Copyrights of Song and DVD Assets  SANTA MONICA, Calif., April 16, 2014 /PRNewswire/ -- Rightscorp (OTCQB: RIHT), the leading provider of monetization services for artists and holders of copyrighted Intellectual Property (IP), announced today that it has secured an agreement with Rotten Records to represent and monitor its copyrighted song and DVD assets against online infringement.	VNSP
Rotten Records represents extreme metal and hardcore acts and has carved out a niche market over its 20 year history, taking chances and changing conventional industry standards.	NONE
With a staff of industry veterans and the power of major label distribution, Rotten Records has always been on the cutting edge of extreme music, taking chances that other labels would never think about.	NONE
WOW Factor Marketing Group Signs Local Market TV Ratings Contract With Rentrak  PORTLAND, Ore., April 16, 2014 /PRNewswire/ -- Rentrak (NASDAQ: RENT), the leader in precisely measuring movies and TV everywhere, today announced a StationView Essentials contract with WOW Factor Marketing Group, an advertising agency in Coral Gables, Fla.  WOW Factor Marketing Group will utilize Rentrak's local TV ratings currency, including its automotive information, to achieve a greater degree of efficiency and effectiveness when planning, buying and posting on behalf of their local market television advertiser clients.	VNSP
"FS Investment Corporation (FSIC) Announces Commencement of Tender Offer  PHILADELPHIA, April 16, 2014 /PRNewswire/ -- FS Investment Corporation (the ""Company"" or ""FSIC"") today announced commencement of a modified ""Dutch auction"" tender offer (the ""Tender Offer"") to purchase up to $250 million in shares of its common stock."	NONE
GSO, with approximately $65 billion in assets under management as of December 31, 2013, is the credit platform of Blackstone, one of the world's leading managers of alternative investments.	NONE
Blackstone also provides various financial advisory services, including mergers and acquisitions advisory, restructuring and reorganization advisory and fund placement services.	NONE 
"Oxford Resource Partners, LP Announces Sale of Illinois Basin Assets  COLUMBUS, Ohio, April 16, 2014 /PRNewswire/ -- Oxford Resource Partners, LP (NYSE: OXF) (the ""Partnership"" or ""Oxford"") announced today that it has sold additional Illinois Basin assets."	ACQ
"And Florida East Coast Industries, LLC Announce Pricing Of Private Offering Of Senior Secured Notes And Senior Unsecured Notes  JACKSONVILLE, Fla., April 16, 2014 /PRNewswire/ -- Florida East Coast Holdings Corp. (""FECH"") and Florida East Coast Industries, LLC (""FECI"") announced today that they priced, as co-issuers, their previously announced offering of $875 million of 6.75% Senior Secured Notes due 2019 (the ""2019 Notes"") and $275 million of 9.75% Senior Notes due 2020 (the ""2020 Notes"" and together with the 2019 Notes, the ""Notes"")."	NONE
"The Notes offered by FECH and FECI have not been and will not be registered under the Securities Act of 1933, as amended (the ""Securities Act""), or any state securities law and may not be offered or sold in the United States absent registration or an applicable exemption from registration under the Securities Act and applicable state securities laws."	NONE
Today, FECI continues to transform Florida as the parent company to four distinct business lines including Flagler, a full-service commercial real estate company; All Aboard Florida, the United States' first privately owned and operated intercity passenger rail system; Flagler Global Logistics, an integrated logistics company that offers a wide range of logistics services and real estate solutions; and Parallel Infrastructure, a leader in third party Right of Way investments and management services.	NONE
"Greenstone Advises Oman Joint Venture  DUBAI, UAE, April 16, 2014 /PRNewswire/ -- Greenstone advises establishment of new Oman join-venture, Strategic & Precious Metals Processing LLC to construct the  world's largest antimony processing plant outside of China  Shareholders Agreement...  Greenstone advises establishment of new Oman join-venture, Strategic & Precious Metals Processing LLC to construct the  world's largest antimony processing plant outside of China   Greenstone Equity Partners (""Greenstone""), a Dubai based investment and advisory firm, has advised Tri-Star Resources Plc (AIM: TSTR) (""Tri-Star"") on the establishment of a joint venture company, Strategic & Precious Metals Processing LLC (""SPMP""), which will construct and operate a 20,000 tonne per annum nameplate capacity antimony metal and tri-oxide manufacturing roasting facility in Oman (the ""Roaster Project"")."	VNSP
"Commenting on the memorialization of the Shareholders Agreement, Alex Gemici, Chief Executive Officer of Greenstone said:  ""We are proud to have aided the closing of a transaction which is not only positioned to provide attractive returns for its shareholders but also to contribute significantly to local job creation and economic output in Oman."	NONE
"Greenstone shares the vision of investors such as the Oman Investment Fund of promoting the local economies of the GCC and establishing profitable companies and joint-ventures to foster the long-term development of local industries."""	NONE
Greenstone Equity Partners is a leading Dubai based advisory firm focused on providing a GCC portal for global fund managers, asset managers and corporate entities as well as structuring local and regional joint venture opportunities within the MENA region.	NONE
"Lucas Energy Announces $2 Million Equity Offering And Is Granted NYSE MKT Compliance Plan Extension  HOUSTON, April 16, 2014 /PRNewswire/ -- Lucas Energy, Inc. (NYSE MKT: LEI) (""Lucas"" or the ""Company""), an independent oil and gas company with its operations in Texas, today announced that it has entered into an agreement with funds managed by Ironman Energy Master Fund and John B. Helmers (associated with Long Focus Capital Management), pursuant to which the Company will sell up to 3,333,332 units at $0.60 per unit for total consideration of $2,000,000 to such entities."	NONE
Lucas Energy (NYSE MKT: LEI) is engaged in the acquisition and development of crude oil and natural gas from various known productive geological formations, including the Austin Chalk, Eagle Ford and Buda / Glen Rose.	NONE
First Republic Reports Strong Quarterly Earnings  SAN FRANCISCO, April 16, 2014 /PRNewswire/ -- First Republic Bank (NYSE: FRC) today announced financial results for the quarter ended March 31, 2014.	NONE
Quarterly Cash Dividend Increases 17% to $0.14 per Share  The Bank announced an increase in its quarterly cash dividend for the first quarter to $0.14 per share of common stock, which is payable on May 15, 2014 to shareholders of record as of May 1, 2014.	NONE
"The following table presents loans sold and gain on sale of loans for the periods indicated:  The following table presents loan originations, by product type, for the periods indicated:  The following table separates our loan portfolio as of March 31, 2014 between loans acquired on July 1, 2010 and loans originated since July 1, 2010:  The following table presents the impact of purchase accounting from the Bank's re-establishment as an independent institution for the periods indicated:  Use of Non-GAAP Financial Measures  Our accounting and reporting policies conform to generally accepted accounting principles in the United States (""GAAP"") and the prevailing practices in the banking industry."	NONE
We believe these non-GAAP measures and ratios, when taken together with the corresponding GAAP measures and ratios, provide meaningful supplemental information regarding our performance.	NONE
Official Sensitive Tablet Devices for RAF  LONDON, April 16, 2014 /PRNewswire/ -- The Royal Air Force awards its secure OFFICIAL SENSITIVE Managed Mobility as a Service contract to Nine23 Ltd and Akhter Computers plc.	VNSP
The Royal Air Force awards its secure OFFICIAL SENSITIVE Managed Mobility as a Service contract to Nine23 Ltd and Akhter Computers plc.	VNSP
This contract adds to Nine23's massively scalable ecosystem already deployed within the Royal Air Force, which allows all mobile devices to integrate into a centralised RAF mobility solution known as LINK.	VNSP
Top-Level Domain Registry Punto 2012 Retains The Pollack PR Marketing Group For The Launch Of .Rest And .Bar  LOS ANGELES, April 16, 2014 /PRNewswire/ -- The Pollack PR Marketing Group (PPMG) announced today, that it has been retained by Punto 2012 to lead the public relations efforts for the launch of their new generic top level domains (gTLDs) .rest	NONE
Warrior Forum is the #1 site on the Internet for discussion around Internet Marketing, Social Media, eCommerce, Offline Marketing, Mobile Marketing, Ad Networks (CPA, CPM, CPL), Adsense, PPC, Search Engine Optimisation, Product Reviews, Copywriting, Viral Networks, Programming, Website Design, Content Marketing and Joint Ventures.	VNSP
Vétoquinol and Bioniche Life Sciences Inc. Close Sale of Bioniche Animal Health Business  LURE, FRANCE and BELLEVILLE, ON, April 15, 2014 /PRNewswire/ - Vétoquinol (NYSE Euronext Paris: VETO) and Bioniche Life Sciences Inc. (TSX: BNC), today jointly announced the closing of the sale of Bioniche's Animal Health business to Vétoquinol.	NONE
About Vétoquinol Vétoquinol is an independent, family-owned business, global player in the animal health sector serving both the livestock (cattle and swine) and pet (dogs and cats) markets.	NONE
Enterprise Holdings Acquiring OccasionalCar in Denver  DENVER, April 15, 2014 /PRNewswire/ -- Enterprise Holdings today announced that it is purchasing OccasionalCar, which has been providing leading-edge car-sharing services in Denver since 2009.	ACQ
OccasionalCar – which will operate under its current brand through the end of the summer – will be served by Enterprise CarShare, a natural extension of the Enterprise Rent-A-Car network.	NONE
Highlander Partners Acquires the Georgia Extrusion Operations of Profile Extrusion Company  ROME, Ga., April 15, 2014 /PRNewswire/ -- Highlander Partners, L.P., today announced it has acquired the aluminum extrusion assets of Profile Extrusion Company located in Rome, Georgia.	ACQ
PCE is a leading provider of aluminum extrusions to the industrial and residential construction, electrical, hurricane shutter and interior decor markets throughout the southeastern part of the United States.	NONE
"Heritage Financial Shareholders Approve Merger with Washington Banking Company  OLYMPIA, Wash., April 15, 2014 /PRNewswire/ -- Heritage Financial Corporation (""Heritage"") (NASDAQ: HFWA) announced that the Heritage shareholders voted to approve the merger with Washington Banking Company."	ACQ
We are excited that the shareholders recognized the significant value created from this strategic partnership by approving the merger, commented Brian L. Vance, Chief Executive Officer of Heritage Financial Corporation.	ACQ
Upon completion of the merger, each outstanding share of Washington Banking common stock, other than dissenting shares, will be converted into the right to receive, promptly following the completion of the merger, 0.89000 of a share of Heritage common stock and $2.75 in cash.	ACQ
"Rollins, Inc. to Acquire Australian Based Statewide Pest Management  ATLANTA, April 15, 2014 /PRNewswire/ -- Rollins, Inc. (NYSE: ROL), a premier global consumer and commercial services company, today announced that it has signed a definitive purchase agreement to acquire the assets and operations of Statewide Pest Management (""Statewide"") headquartered in Shepparton, Australia."	ACQ
Through its wholly owned subsidiaries, Orkin LLC., HomeTeam Pest Defense, Western Pest Services, Orkin Canada, The Industrial Fumigant Company, Waltham Services LLC., Crane Pest Control, Trutech LLC., and Rollins Australia the company provides essential pest control services and protection against termite damage, rodents and insects to more than 2 million customers in the United States, Canada, Central America, South America, the Caribbean, the Middle East, Asia, the Mediterranean, Europe, Africa, Mexico, and Australia from more than 500 locations.	NONE
LOUIS, April 15, 2014 /PRNewswire/ -- Amdocs Limited (NASDAQ: DOX), the leading provider of customer experience systems innovation, today announced it has completed the cash offer for its 0.50% Convertible Senior Notes due 2024.	NONE
These risks include, but are not limited to, the effects of general economic conditions, Amdocs' ability to grow in the business markets that it serves, Amdocs' ability to successfully integrate acquired businesses, adverse effects of market competition, rapid technological shifts that may render the Company's products and services obsolete, potential loss of a major customer, our ability to develop long-term relationships with our customers, and risks associated with operating businesses in the international market.	NONE
With revenue of $3.3 billion in fiscal 2013, Amdocs and its 21,000 employees serve customers in more than 70 countries.	NONE
Generational Equity Announces the Acquisition of RN Motion Technologies Assets by Swanson Industries  DALLAS, April 15, 2014 /PRNewswire/ -- Generational Equity, a leading mergers and acquisitions advisor for privately-held, middle-market businesses, is pleased to announce the acquisition of the assets of its client, RN Motion Technologies, headquartered in Houston, Texas, by Swanson Industries, headquartered in Morgantown, West Virginia.	ACQ
"BG Capital Group's Bobby Genovese Buys Stake in PoolSafe,™ Inc.  PLANTATION, Fla., April 15, 2014 /PRNewswire/ -- BG Capital Group Chairman of the Board Bobby Genovese has announced a partnership with PoolSafe, the world's provider of state-of-the-art poolside personal ""safes"" for hotel, resort and cruise line guests to stow and protect their valuables."	ACQ
We are thrilled with the explosive growth that we've experienced since PoolSafe launched several months ago, says Genovese of the revolutionary security device, which was developed by Canadian entrepreneur David Berger and has already been adopted by the world's top international hotel chains - including the Hyatts, Westins and, most recently, Mandalay Bay Resort & Casino, to name a few.	NONE
About BG Capital GroupWith more than 25 years of experience in mergers and acquisition, Bobby Genovese's portfolio of companies now hold assets of over $200 million and generate revenues in excess of $150 million.	NONE
The Mosaic Company To Acquire ADM's Brazil And Paraguay Fertilizer Distribution Business  PLYMOUTH, Minn., April 15, 2014 /PRNewswire/ -- The Mosaic Company (NYSE: MOS) signed definitive agreements today with Archer Daniels Midland Company (NYSE: ADM) to acquire its fertilizer distribution business in Brazil and Paraguay for $350 million.	ACQ
"Such statements include, but are not limited to, statements about the acquisition and assumption of certain related liabilities of the fertilizer distribution business in Brazil and Paraguay of Archer Daniels Midland Company (""ADM"") and the fertilizer supply agreements with ADM; the benefits of the transactions with ADM; other proposed or pending future transactions or strategic plans and other statements about future financial and operating results."	NONE
These risks and uncertainties include but are not limited to risks and uncertainties arising from difficulties with failure to complete the proposed acquisition with ADM, unexpected delays in completion of such transaction, realization of the benefits of the transactions with ADM, including the risks that the acquired assets may not be integrated successfully or that the cost or capital savings from the transactions may not be fully realized or may take longer to realize than expected; customer defaults; the predictability and volatility of, and customer expectations about, agriculture, fertilizer, raw material, energy and transportation markets that are subject to competitive and other pressures and economic and credit market conditions; the level of inventories in the distribution channels for crop nutrients; changes in foreign currency and exchange rates; international trade risks and other risks associated with Mosaic's international operations; changes in government policy; changes in environmental and other governmental regulation, including greenhouse gas regulation; the effectiveness of the Company's processes for managing its strategic priorities; reduction of Mosaic's available cash and liquidity, and increased leverage, due to its use of cash and/or available debt capacity to fund share repurchases and strategic investments; and other risks and uncertainties reported from time to time in The Mosaic Company's reports filed with the Securities and Exchange Commission.	NONE
Broadstone Net Lease Acquires 19 Properties for $52.6 Million  ROCHESTER, N.Y., April 15, 2014 /PRNewswire/ -- Broadstone Net Lease (BNL), a private Real Estate Investment Trust (REIT) managed by Broadstone Real Estate, LLC, continues to build the size, diversification, and quality of its net leased portfolio.	NONE
"RFE Investment Partners and 24/6 Capital Partners Acquire Aerospace Manufacturer SPX Precision Components LLC  NEWINGTON, Conn., April 15, 2014 /PRNewswire/ -- PCX Aerostructures, LLC (""PCX""), RFE Investment Partners (""RFE"") and 24/6 Capital Partners (""24/6"") are pleased to announce the acquisition of SPX Corporation's (NYSE: SPW, ""SPX"") Precision Components business."	ACQ
"Industry veteran Alan (""Al"") Haase has been named Chief Executive Officer of PCX."	JOB
PCX Aerostructures is a world-class manufacturer of highly engineered, precision, flight critical and other essential components for rotorcraft and fixed wing aerospace platforms serving the military and commercial markets.	NONE
"Peter Reiter, Managing Director at RFE Investment Partners, said, ""We see a great opportunity to build an aerospace business diversified across military, commercial, rotorcraft and fixed wing platforms."	NONE
24/6 and Al Haase partnered to find a platform investment providing precision machined parts to the aerospace industry and worked closely with C.W. Downer & Co., a Boston based investment bank, to source the PCX transaction and secure an equity partner.	NONE
"I am confident that with Al Haase's leadership and vision, coupled with RFE and our experience working with middle market companies, we will successfully grow PCX into a diversified manufacturer of highly engineered precision components."""	NONE
About RFE Investment PartnersRFE Investment Partners (based in New Canaan, CT), founded in 1979, is a leading private equity firm that has consistently focused its investment activities on companies operating in the lower middle market (less than $100 million of entity value).	NONE
Currently investing from its eighth committed fund, RFE Investment Partners VIII, RFE seeks to partner with management teams of market leading manufacturing, business service and health care service companies.	NONE
For more information please contact Peter Reiter, RFE Investment Partners Managing Director at 203-966-2800.	NONE
Intralinks Deal Flow Indicator™ Forecasts Sustained Growth in Global M&A Markets  NEW YORK, April 15, 2014 /PRNewswire/ -- Intralinks® Holdings, Inc. (NYSE: IL), a leading, global SaaS provider of content management and collaboration solutions, announced today the release of the latest Intralinks Deal Flow Indicator™ (DFI), a unique predictor of future mergers and acquisitions (M&A) activity.	NONE
The Intralinks DFI forecasts changes in the volume of global M&A deals that are expected to be announced in the next six months, or through the third quarter of 2014.	NONE
Intralinks Deal Flow Indicator Highlights  – Outlook for Q3 2014The Intralinks DFI tracks global M&A sell-side mandates and deals reaching due diligence prior to public announcement, providing a predictor of future global M&A activity levels.	NONE
About the Intralinks Deal Flow IndicatorThe Intralinks Deal Flow Indicator provides Intralinks' perspective on the level of M&A due diligence activity taking place during any given period of time.	NONE
"EKO International Corp. - Change in Directors  MISSISSAUGA, ON, April 16, 2014 /PRNewswire/ - EKO International Corp.(the ""Company"") -  (EKNL- Pinksheets) announces that the Company is in the process of preparing  adequate current information  pursuant to the OTC Pink Basic Disclosure Guidelines."	NONE
Digital Marketing Leader Monetate Joins Demandware LINK to Accelerate Commerce Innovation  PHILADELPHIA, April 16, 2014 /PRNewswire/ -- Monetate announced today that it has become a Demandware LINK Technology Partner, joining a best-of-breed community committed to accelerating the adoption of innovative commerce technologies that are complementary to the Demandware® Commerce platform.	NONE
Through the LINK Technology Partner Program, Monetate has developed a pre-built integration between Monetate's Acceleration Cloud and Demandware Commerce, making it possible for Demandware clients to implement its industry leading software platform in a fraction of the time normally required.	VNSP
With Monetate, brands gain a clearer understanding of their customers' situations, behaviors, and preferences and can take immediate action on those insights with in-the-moment, relevant experiences targeted to the right customer at the right time.	NONE
Frost & Sullivan, the Growth Partnership Company, works in collaboration with clients to leverage visionary innovation that addresses the global challenges and related growth opportunities that will make or break today's market participants.	NONE
With the first European Superstar Retreat on record, Mike is preparing for his annual Toronto Mini-Retreat at the end of April, and the Superstar Retreat Las Vegas which takes place July 28 – August 1.	NONE
Primco Management Enters Into Agreement to Acquire 10 Acre Parcel Zoned for Medical Marijuana in Northeast Seattle Area  LOS ANGELES, April 16, 2014 /PRNewswire/ -- Primco Management Inc. (OTCQB: PMCM), a medical marijuana real estate management and multi-media company, today announced that the Company has entered into an agreement with private land owners to acquire two five acre parcels zoned for medical marijuana cultivation in Snohomish County, Washington, where the Company plans to build two 30,000 square foot production facilities.	NONE
Primco has signed letters of intent with Alon LLC and Lano LLC to manage the production and sale of medical cannabis on the 2 parcels, pending the issuances of their respective Tier 3 licenses.	NONE
In further news, Primco announced that improvements on the Suzie Q's dispensary have been completed in compliance with the Washington State Liquor Board and that traceability and security measures are now being installed.	NONE
Average balances for the first quarter increased $1.0 billion compared with the fourth quarter reflecting the full quarter impact of Treasury securities purchased prior to year end to enhance PNC's liquidity position in light of new short-term liquidity regulatory standards.	NONE
PNC continued to increase its capital levels and ratios and took actions reflecting its strong capital position.	NONE
PNC also announced share repurchase programs of up to $1.5 billion for the four quarter period beginning in the second quarter of 2014 under its existing common stock repurchase authorization.	NONE
"The ""Other, including BlackRock"" category, for the purposes of this release, includes earnings and gains or losses related to PNC's equity interest in BlackRock, and residual activities that do not meet the criteria for disclosure as a separate reportable business, such as integration costs, asset and liability management activities including net securities gains or losses, other-than-temporary impairment of investment securities and certain trading activities, noncash charges for unamortized discounts related to redemptions of trust preferred securities, exited businesses, private equity investments, intercompany eliminations, most corporate overhead, tax adjustments that are not allocated to business segments, and differences between business segment performance reporting and financial statement reporting under generally accepted accounting principles."	NONE
"Cash Store Financial to Seek Creditor Protection and Reaches Agreement for DIP Financing  EDMONTON, April 14, 2014 /PRNewswire/ - The Cash Store Financial Services Inc. (""Cash Store Financial"" or the ""Company"") announced today that the Company's board of directors has voted to authorize the Company and its subsidiaries to bring an application in the Ontario Superior Court of Justice to seek protection from creditors under the Companies' Creditors Arrangement Act (""CCAA"")."	NONE
"Cash Store Financial's board of directors has also authorized the Company and its subsidiaries to enter into a debtor-in-possession (""DIP"") financing agreement pursuant to which up to $20.5 million will be available to the Company to enable the Company and its affiliates to continue operations during the CCAA proceedings."	NONE
Protection under the CCAA and the financing available under the DIP financing agreement will provide Cash Store Financial with the time and stability to attempt to restructure its affairs under the CCAA.	NONE
The CCAA protections and the DIP financing agreement are subject to approval by the Ontario Superior Court of Justice.	NONE
"Significant and reasonably foreseeable factors that could cause our results to differ materially from our current expectations, include, but are not limited to, a decision of the Ontario Superior Court of Justice not to grant the relief sought by Cash Store Financial, the inability of Cash Store Financial to fulfill the conditions to funding under the DIP financing agreement, and other factors that could affect Cash Store Financial's ability to continue its operations during the CCAA proceeding, including the factors that are discussed in the section entitled ""Risk Factors"" contained in our Annual Information Form for the year ended September 30, 2013 dated December 11, 2013 filed by The Cash Store Financial Services Inc. with the Canadian securities commissions (available on SEDAR at ,"	NONE
TelexFREE™ Files Voluntary Chapter 11 Petitions To Facilitate Financial And Operational Restructuring  MARLBOROUGH, Mass., April 14, 2014 /PRNewswire/ -- TelexFREE LLC today announced that it and certain of its subsidiaries and affiliates filed voluntary petitions for relief under Chapter 11 of the U.S. Bankruptcy Code, in an effort to address certain operational challenges.	NONE
TelexFREE expects that it has cash on hand to support the business throughout its reorganization and to maintain services to its customers.	NONE
The Company announced its intention to restructure its debt obligations, unveil and promote new products (including its TelexFREE app and TelexMobile), and return to growing its customer base in an effort to realize the Company's full potential to generate significant value for its constituents.	NONE
Alvarez & Marsal North America, LLC is serving as restructuring advisor to the Company and Greenberg Traurig, LLP and Gordon Silver are serving as legal advisors to TelexFREE.	NONE
Start Fresh Today Makes Special Announcement at National Association of Consumer Bankruptcy Attorneys Convention  NEW YORK, April 11, 2014 /PRNewswire/ -- Start Fresh Today, a leading provider of Credit Counseling and Debtor Education since 2005, just announced an exclusive new product at the 22 Annual National Association of Consumer Bankruptcy Attorneys Convention (NACBA).	NONE
NACBA is the only national organization dedicated to serving the needs of consumer bankruptcy attorneys and protecting the rights of consumer debtors in bankruptcy.	NONE
James River Coal Company Files For Chapter 11 Reorganization To Restructure Balance Sheet And Continue Exploration Of Strategic Alternatives  RICHMOND, Va., April 7, 2014 /PRNewswire/ -- James River Coal Company (NASDAQ: JRCC),  today announced that the Company and its subsidiaries have filed voluntary petitions for reorganization under Chapter 11 of the Bankruptcy Code in the Bankruptcy Court for the Eastern District of Virginia Richmond Division.	NONE
Davis Polk and Wardwell LLP and Hunton & Williams LLP are serving as the company's legal advisors, Perella Weinberg is serving as restructuring financial advisor, and Deutsche Bank Securities is serving as investment banker and mergers and acquisitions advisor.	NONE
Factors that could affect our results include, but are not limited to: (i) the ability of James River and its subsidiaries to continue as a going concern, (ii) the ability of James River and its subsidiaries to obtain Bankruptcy Court approval with respect to motions in the Chapter 11 cases, (iii) the ability of James River and its subsidiaries to prosecute, develop and consummate one or more plans of reorganization with respect to the Chapter 11 cases, (iv) the effects of the bankruptcy filing on James River and its subsidiaries and the interests of various creditors, equity holders and other constituents, (v) Bankruptcy Court rulings in the Chapter 11 cases and the outcome of the cases in general, (vi) the length of time James River and its subsidiaries will operate under the Chapter 11 cases, (vii) risks associated with third-party motions in the Chapter 11 cases, which may interfere with the ability of James River and its subsidiaries to develop one or more plans of reorganization and consummate such plans once they are developed, (viii) the potential adverse effects of the Chapter 11 proceedings on James River's liquidity or results of operations, (ix) the ability to execute James River's business and restructuring plans, (x) increased legal costs related to James River's bankruptcy filing and other litigation, and (xi) the ability of James River and its subsidiaries to maintain contracts that are critical to their operation, including to obtain and maintain normal terms with their vendors, customers, lessors and service providers and to retain key executives, managers and employees.	NONE
NEW YORK, April 1, 2014 /PRNewswire/ -- Cengage Learning, Inc., a leading global educational content, technology and services company for the higher education and K-12, professional and library markets, announced today that it has emerged from Chapter 11, having completed its...	NONE
The Limited Partnerships Owning and Operating Highmark Stadium and the Pittsburgh Riverhounds Professional Soccer Club Commence Voluntary Chapter 11 Proceedings  PITTSBURGH, March 27, 2014 /PRNewswire/ -- The Limited Partnerships owning and operating Highmark Stadium and the Pittsburgh Riverhounds Professional Soccer Club jointly announced today that each company has filed a voluntary petition under Chapter 11 of the United States Bankruptcy Code in the U.S. Bankruptcy Court for the Western District of Pennsylvania.	NONE
"We, the current majority ownership, took control of the companies owning and operating the Pittsburgh Riverhounds and Highmark Stadium last year, and since then we've been working diligently to create a high-quality and affordable sports and entertainment experience for families, said Shallenberger. ""We've taken steps to operate as lean as possible while still delivering a championship-level team and running a first-rate facility."	NONE
We want our employees, fans and sponsors to know that our commitment to growing the game of soccer and to realizing the full potential of Highmark Stadium will continue during the reorganization process, Shallenberger added.	NONE
No public money was used to finance the building of Highmark Stadium, which was constructed using private funding with a tax credit provided by the Urban Redevelopment Authority of Pittsburgh.	NONE
Gordon Brothers Group to Sell All Assets Formerly Owned by Green Field Energy Services  BOSTON, March 18, 2014 /PRNewswire/ -- Gordon Brothers Group, a global advisory, restructuring and investment firm specializing in the industrial, consumer products and retail sectors, received sale order approval by the Federal Bankruptcy Court in Delaware for Green Field Energy Services, Inc.'s entire portfolio of equipment and inventory assets.	NONE
In addition, the acquired assets include over 40 new and late model FMC, OFM and SPM tri-plex pump power ends and fluid ends and a variety of late model trailer pump and support units for well services applications.	ACQ
Gordon Brothers Group provided an ideal solution for Green Field and our creditors as they took sole control of a very large and diverse portfolio of equipment involved in this transaction, said Rick Fontova, President of Green Field Energy Services.	VNSP
"ResCap Liquidating Trust Provides Preliminary Tax Valuation Information  MINNEAPOLIS, March 14, 2014 /PRNewswire/ -- The ResCap Liquidating Trust (the ""Trust"") announced that it was providing preliminary information to Unitholders regarding the net value for tax purposes of the assets transferred to the Liquidating Trust on December 17, 2013, the effective date of the Chapter 11 Plan of Residential Capital, LLC, et al."	NONE
Also, the net asset value of the transferred assets being provided for tax purposes will differ from the net asset value that will be shown on the Trust's balance sheet as of the effective date of the Chapter 11 Plan, determined in accordance with GAAP, because the rules governing the calculation of net asset value as of the effective date for tax and GAAP purposes differ.	NONE
"Quiznos Files For Prepackaged Chapter 11 To Execute Financial Restructuring And Implement Operational Enhancements; Restaurants Open And Operating As Usual  DENVER, March 14, 2014 /PRNewswire/ -- Quiznos, one of the nation's premier quick-service restaurant chains and pioneer of the toasted sub, today announced that its senior lenders have voted overwhelmingly in favor of a ""pre-packaged"" restructuring plan that will reduce the Company's debt by more than $400 million."	NONE
