,Rid,RDate,Feature,Sentence,Sentiment,Rating
100,84,15/7/2013,screen,touch screen is handy,57,0.8
101,85,25/6/2013,keypad,separate keypad,61,0.4
102,90,19/11/2013,touch,get the touch screen,32,0.8
103,90,19/11/2013,screen,get the touch screen,32,0.8
104,92,19/11/2013,display,overall display,63,0.8
105,95,20/11/2013,weight,light weight,36,0.8
106,95,20/11/2013,sound,was a loud sound,44,0.8
107,95,20/11/2013,driver,hard driver,44,0.8
108,96,20/11/2013,webcam,nice webcam,12,0.8
109,96,20/11/2013,pad,numeric pad,12,0.8
110,96,20/11/2013,fan,have a loud fan,12,0.8
111,96,20/11/2013,usb,several usb,12,0.8
112,97,20/11/2013,charge,charge does not last,52,0.8
113,98,20/11/2013,screen,screen was excellent,64,0.8
114,98,20/11/2013,pad,touch pad,61,0.8
115,98,20/11/2013,ram,upgrade the ram,48,0.8
116,98,20/11/2013,screen,get a screen protector,42,0.8
117,98,20/11/2013,screen,touch screen,42,0.8
118,99,21/11/2013,software,load software,24,0.8
119,102,19/11/2013,ram,upgraded ram,43,1.0
120,104,19/11/2013,trackpad,trackpad is unresponsive,25,1.0
121,104,19/11/2013,keyboard,keyboard is hard,25,1.0
122,105,19/11/2013,processor,intel core i3 processor provides very fast,96,1.0
123,105,19/11/2013,display,display is very bright,96,1.0
124,106,19/11/2013,processor,put the processor,43,1.0
125,106,19/11/2013,processor,processor such,13,1.0
126,115,19/11/2013,touch,get the touch screen,32,0.8
127,115,19/11/2013,screen,get the touch screen,32,0.8
128,118,12/12/2013,display,overall display,63,0.8
129,120,19/11/2013,power,enough power,28,0.8
130,121,19/11/2013,display,display is problematic,47,0.8
