Product,Source,Source Date,Rating,Customer Verbatim,Quality Impact,Loyalty,Purchase Decision,Root Want,Sentiment,Features,Opinion Sentence,Loyalty Param
Inspiron 15,ecommerce Website,2/7/2014,4/5,"I think that this computer is fun to use and easy to use Pros:so easy to learn to use, light weight",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/7/2014,4/5,"Got this for our family. It is a very good entry level non-touch laptop for people who only use it for email, homework, and web browsing. It's design is clean and easy for people who prefer traditional tower PCs. Picture is sharp. Still getting used to Windows 8 UI. Don't think Tiles will go far. Pros:ease of use Cons:no cd/dvd-r, memory stuck at 4gb max.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/6/2014,3/5,"Unfortunately, I did not start using my computer in time to realize that I did not like it, or I definitely would have returned it. The operating system is great, and basically everything about the computer is good, except for the loud touch pad. This may make a great computer for a high school student, or a college student, but not for someone who does not want a loud clicking sound from the touch pad disrupting meetings. Other than that, it's not a bad buy. It's my third Dell purchase, and probably my last.(hide)Pros:inexpensive, good operating system Cons:loud touchpad that is a design flaw.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/6/2014,4/5,"This is perfect laptop for everyday use. I got this for my mom, she knows enough to get the job done. Windows 8 has a little learning curve but it's nice. Right out of the box upgraded to Windows 8.1, much better. Touch pad is nice but uses a wireless mouse instead",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/6/2014,1/5,have inspiron 15 3521.Buy in sep 2013 but in short time screen in problem generate pixels line display on the screen.and process is very slowly work.i5 prcessor but that speed is very slow speed is comparable with core2duo processor.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/6/2014,4/5,Computer is great for schooling and gaming at an affordable price.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/6/2014,4/5,Can't beat the deal on this lap top. Glad I made the purchase.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/3/2014,4/5,"This laptop makes the high-pitched noises from beneath the keyboard. Pros:stylish - thin shiny and light, good keyboard, ips screen - wide view angle, build quality - sturdy Cons:glossy screen - glare and reflaction, lack of ports - no hdmi sd slot ethernet port, expensive, no os disc driver disc, cheap speaker sound, battery life - 4~5 hours",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/12/2013,4.5/5,"With a full HD screen and Haswell, this Ultrabook combines great visuals with better performance and battery life. The keyboard is great with plenty of travel. The white keyboard backlight is bright and of high quality. The build quality and design are unrivaled. Up to 8 hours of web browsing can be expected on around 50% brightness. There is no SD card reader, however, although an USB to SD card adapter would be fine. The same could be said for the lack of HDMI, where a Mini Display Port to HDMI adapter would be good enough. This really is the XPS 13 perfected, although the price could set it back slightly.Pros:great design and build quality,great screen, haswell - better battery life, great keyboard. Cons:no sd card reader, price slightly high.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/9/2013,4/5,"Had the laptop for less than 1 hour and sending it back, horrible screen bleeding on the bottom and sides the worst I have ever seen!! The track pad was so loose I thought it was going to fall off. Do they not check them for quality or is this just a one off? Will never buy another Dell again. Cons:screen bleeding, loose track pad.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/6/2013,4/5,"I would recommend this product.Excellent Performance and Great design, Extremely Fast boot up, Battery Life is decent, Touch screen is excellent, Slim and sleek.Though 128 GB SSD was mentioned by Dell, I actually received 61GB(showing 61 GB free of 103 GB).Overall, This is a great product.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/3/2013,4/5,"I've had several Dell Desktops and a couple Laptops over the years. All have been very good. My last dell was the XPS 14 ultrabook and it was very good except I had some overheating problems, yet I had bought it as a ""refurbished"" from the Dell Outlet, knowing chances you take with such purchases. Like I said, other then that the XPS14 computer was very good, but I decided to sell it and try one more time with a Dell Product, even though I had it repaired by Dell...... The good news???? I purchased the Dell XPS 13 with the new 4th generation chip and had to have the backlit keyboard as from using that feature on the xps14. I also choose windows 7 because I do not like windows 8. It took nearly three weeks to get my order but it was worth the wait and suspense. THIS new XPS 13 computer ROCKS!!!!! Words can describe it. It really is the PERFECT computer I've dreamed about for years. Better then Apple Mac Air in my opinion. Computer is lightweight, incredibly mobile, FAST, stylish, I could on and on.....YOU will not be disappointed. Even the old windows 7 seemed new and improved the way it ran on this system. I am a very HAPPY customer and I think Dell has hit a new bulls eye with this one. All they need to do is get the word out. Since owning this, I have almost forgotten to use my iPad4. I now use the iPad mainly only for photos, since I call it my ""flat camera"" Pros:very fast, lightwight, fast bootup time, backlit keyboard, very mobile, easy to grip and stylish, runs cooler than other laptops i've had.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/12/2012,4/5,"I am very pleased with this purchase. I have owned 4 dell laptops, 2 fantastic, 2 sucky. This is my fifth and it is fantastic. Great build quality and performance, quiet, cool, long battery life, and plenty of horse power.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/9/2012,4/5,"This is the perfect Ultra book out there. Dell has always made excellent computers. The Dell XPS 13 is great. It is fast, durable, and high-end. This PC boots up in just seconds and it is extremely quiet. Perfect for students although it is pretty pricey however this PC excels in everything and it is well worth it. Not even a Mac comes close to the Dell XPS 13. I highly recommend this PC to everyone. The Dell XPS 13 is the perfect Ultra book. Pros:slim, durable, quiet, build quality, light weight, fast.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/5/2014,4/5,"I'm a long time Dell user, and this INSPIRON 3521 laptop is the tenth Dell I've brought home. My daughter's older laptop finally gave up the ghost--after six grueling years of college--so I replaced it with this honey. She couldn't be happier! It does everything she'd want it to do for schoolwork, and then some--surfing the web, writing papers, listening to music, streaming videos, using Skype, and considerably faster than her older model. Keep up the good work, Dell. You haven't disappointed us yet!(hide) Pros:great price, lightweight, lots of features, windows 7.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/4/2014,4/5,"I have been using the laptop daily, it's fast and extremely easy to use and get accustomed to.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/4/2014,4/5,I have a desktop and pad but was looking for something that I could use when I travel and sitting at home and playing games while watching TV but I did not want to spend a lot of money. My new Inspiron fits the bill.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/4/2014,4/5," I decided to get a laptop to use for home, hooked up to my old keyboard and mouse as I have trouble w the laptop keyboards. While it is a bit unwieldy to use the start up function and the wires needed, once it is up and running, it is nice and fast. Also, the image is super clear - whether streaming on line or using the various software on the machine.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/5/2014,4/5,"This computer is just what my family has been needing. It does all the things we need it to do. Email, browsing the internet, etc. We've had it just over 2 weeks now and have not found a thing we do not like. Dell came through for us again!",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,2/5/2014,4/5,This is probably the 5th laptop I have bought from Dell in the last 3 years. This is the first windows 8 laptop that I bought that I like. The touch screen is awesome,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,31/1/2014,4/5,"I like the size, it is lightweight, pretty fast on start up and connecting to web pages. So far I have had no problems with anything. This is my first laptop so I need to get used to the keyboard. I feel this is a great product for the cost.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,31/1/2014,3/5,Solid computer except for the screen which cracked after 6 months of use when opening the computer. Installed cost of replacement is more than 50% of the computers cost and cracked screen is not covered under warranty.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,30/1/2014,0.8,"This Dell computer does not have a scroll bar on the touch pad.without a mouse it makes moving around the screen so much slower. Also, something was wrong with the original set up-did not configure admin account and the disk drive wouldn't work. Had to call cust. service to reconfigure the set up. Took a long time, but they did a great job and it works well now. Pros:faster than my old vista. Cons:doesn't have scroll capability on touch pad.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,30/1/2014,4/5,"For a mid-range business laptop, or for most personal use, this is definitely a good quality laptop. The case feels quite a lot more durable than the less expensive options, has great access to all ports, and runs very quietly. A laptop that can actually work both as a laptop or as a desktop replacement solution so well is rare. The keyboard has also been extremely easy to get used to, compared to many other laptop keyboards out there. I even find myself using the trackpad more frequently than I had on prior laptops due to annoyances with odd behavior.Also, excellent sound for a laptop. Pros:great sound quality, good case design, good input Cons:slow hard drive",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,29/1/2014,0.8,"I’ve owned several desktops over the years and this was my very first laptop purchase. I was looking for a simple basic machine that I could take with me to check e-mail, find restaurants/attractions on vacation or watch a movie or play a basic game on the airplane (it’s not a “gaming” machine). However, this little laptop has excelled in all of these plus some more. I’ve installed MS Office and some photo editing software and it performs just fine using these. The 500GB is plenty big enough for anything I’m doing. It’s really thin and lightweight, around 5 pounds. The screen is large and has really good color and contrast as long as you’re right in front of it. The battery life is also pretty darn good. I get about 4 hours of operation out of it watching a couple of movies or general working. It also has 4 USB ports (two 2.0 and two 3.0) and an HDMI port which I thought was kinda cool. Some others I looked at didn’t. The only con I have is that I wish it had come with Windows 7 since it’s not a touch screen. Overall I think it’s one of the best, if not THE best, values for a basic laptop which has several additional nice features. Pros:super thin, lightweight 5 lbs, good battery life, great value Cons:would have rather had windows 7.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,27/1/2014,4/5,"Bought this for my wife to replace an eMachine Celeron box. Happy with the overall purchase and experience. In the spirit of honesty, I am a DELL services employee and with the discounted price and my employee discount, it was a VERY good purchase. Wife had enough issues moving from XP to Win 7 a few years back so I knew I did NOT want to try to take her to WIN 8. I am using this with a DELL 3.0 HiSpeed USB adapter. I am NOT real happy that there is no power button available with the lid closed. Had to make some changes in placement of PC to accommodate this missing button to be able to leave lid open to access power button. Running it on a DELL 22"" monitor thru the Adapter. Would have liked it to have the micro-connector on the bottom to be able to use an actual docking station, but have made do with the HiSPeed adapter Pros:speed (compared to old machine), like windows 7 and being win 7 64 bit pro even bet Cons:no power buttone accessible with lid closed, noi micro connjector on the bottom for docking station.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,27/1/2014,4/5,"I simply love this computer. It was my first one with a touch screen and it was very simple to set-up and begin using. I was disappointed that the 8.1 upgrade was not yet installed and that there were dozens of apps already installed that I had to go through and delete. I would have liked to see a tutorial on using Apps and the App store. It would have saved me time overall. I would recommend this system to anyone for a really good all around daily use computer. Especially for the student user. Pros:easy to use, fast and efficient, inexpensive, versitile Cons:too many preloaded apps, no app tutorial on desktop.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,25/1/2014,5/5,"after my last dell inspiron hit the skids after just a year (including a new fan being put in a few months before by dell) i couldnt decide whether to opt for a dell again. my previous one lastest 3 years, so decided to take the plunge again and it was well worth it. I got the none touchscreen with i3 processor - and i havent got a single regret. The laptop is much faster than my previous one, there is barely any sound or heat. the graphics are clear, and it doesnt seem to bogged down with dell software like my last one did. personally im thrilled that the mains socket is on the left rather than the back, as wherever i am, the mains sockets are always to my left. the number pad isnt really useful to me, and would much rather have a fuller keyboard but it doesnt bother me and im sure some will find it useful. windows 8 is a bit scary at first, but its actually a great operating system and is well worth having once you get used to it - makes the whole thing more fluid and personal once you pin and move all your apps. The laptop is light weight but sturdy (although the cd drive feels a bit too flimsy underneath) but the battery life is decent In fact everything about this laptop is great for the price range. its 5 stars from me.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,22/1/2014,4.5/5,"Like a desktop away from your desktop. I use the Inspiron for all my computing needs, the non-touch is definitely worth the money, and that extra hundred for touch is preference. It has common durability. Get Windows 8 pro for the extra security (Bitlocker), extra speed, and accessibility. It feels like a small desktop, and ironically has more storage than my Windows 7 Gateway. Dell is definitely the way to go for laptops.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,22/1/2014,4/5,"First time to use win8, disappoint to me, 64bits, slow for i3 cpu, and don't like the design to take out battary. lucky me, only like the appearance and material.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,17/1/2014,4/5,"Unfortunately, I did not start using my computer in time to realize that I did not like it, or I definitely would have returned it. The operating system is great, and basically everything about the computer is good, except for the loud touch pad. This may make a great computer for a high school student, or a college student, but not for someone who does not want a loud clicking sound from the touch pad disrupting meetings. Other than that, it's not a bad buy. It's my third Dell purchase, and probably my last.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,14/1/2014,4/5,It not Widi ready so if you are planning to use it with you HDTV or Smart Tv don't bother. It dose not have Intel Widi.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,22/12/2013,4/5,"This PC is responsive, fast, and easy-to-use. I was skeptical of the Windows 8 operating system, but it is very nice.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,22/12/2014,4/5,my fault that I didn't understand no dvd/dvr writer but other than that very happy with what I got for what I paid,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,17/11/2013,4/5,"Unbelievably! Who ever heard of a new laptop whereas a CD or DVD drive is optional? I thought I reviewed this product thoroughly before purchasing, but this one got past me. I came back online, today, to see if the part was missing, and that's when I realized the darn thing is optional. Then, when I clicked to choose one, I was taken to a goofy page that explained how to choose one, only. I am clueless which DVD drive is compatible for this laptop. I searched all DVD drives (don't want a CD type), but got tired of clicking to see that this model was not listed. You know that annoying floating-popup asking if you want to chat? I clicked it just to read that chat is not available, try later. Lordy!",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,17/11/2013,4/5,"The power supply plugs into the left rear side of the laptop instead of the back. There are 4 USB ports with 1 being exactly where the mouse pad and mouse are located. The keyboard has a very ""hard feel"" instead of the easy touch of my other Dells. I got it at a good price, but am not happy. I do love the performance and wanted WIndows 7 OS instead of WIndows 8.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,16/11/2013,4/5,"This was a wise purchase, a good value, easy to get used to,and performs well. It also arrived several days ahead of schedule.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,22/11/2013,4/5,"I recently purchased a new laptop, the Inspiron 15. I thought it would be a new version of my old Inspiron which needs percussive therapy every time we turn it on to get the screen to engage.
Silly me. Things are never the same. And why should they be when tweaks to hardware and software are available.
It seemed intuitive to me that I should order Windows 8. Isn't it obvious that it would be better than the previous version? Not. I hate that operating system. I wanted a computer not a large app device.
And it turns out the new computer is much heavier.
So after much hemming and hawing decided to return it. Well I was four days over the 30 return policy. Yes I know I should have checked that, but there was the whole holiday travel thing in there as well.
So alas, I have a heavy laptop with an obnoxious operating system that we don't want.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,17/11/2013,4/5,Good for the Price. IT has all the basic Feature you need.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,14/11/2013,4/5,This computer does not have an optical drive or CD drive. Very disappointed in this computer,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,20/2/2014,5/5,"I knew that an I3 chip based laptop would not be that fast running windows 8 - but this is really bad, application take forever to open and windows 8 just run slow. Everything seems to work --- just very very slowly. If I could I would return this laptop today for something that performs at a reasonable speed as a 6 time dell computer owner this is the worst by far...",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,15/2/2014,5/5,"The Windows 8 operating system is designed for social media, but not for business applications. If you desire a toy, this computer will meet your needs. It does not function with serious business software, and is almost impossible to upgrade to Windows 7 Professional.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,14/2/2014,4/5,Do not buy Dell Laptop as part quality is not good and get failed soon and upon it extended warranty package cost too much..,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,12/2/2014,3/5,I thought I was buying a touch screen as I selected all the drop down menues and tabs indicated as I was making my purchase. But then putting up with windows 8 has been a night mare. The charms bar pops up as you are in the middle of the page! then it will not go away. I tried the fix key and that down not work. I want to throught this laptop at the wall. What a mistake.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,10/2/2014,4/5,"Having problem staying online, constantly timing out. I have three other devices and none of them have this problem. Not crazy about Windows 8, but will give it more time. I feel they tried to dumb it down and just made it more complicated.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,6/2/2014,1/5,t is pretty slow but it works. Battery life is okay. I wouldn't plan on playing games with this machine. Can't install windows video editor because it doesn't meet minimum machine requirements. First time with windows 8 and hate it. Maybe it would be a little better with touch screen.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,1/2/2014,2/5,The laptop runs slowly. Websites take a while to load and seems delayed. The scroll down button doesn't always scroll down. The swipe from the corner doesn't always show up. May be returning this laptop.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,1/2/2014,5/5,"Very clunky, cheesy keyboard and no touch screen as advertised",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,28/1/2014,5/5,"Product is good for the money. However not a fan of ""chicklet"" keyboard which feels light and very cheaply made. Otherwise it does what I need it to do. I do wish dell would consider where they place power and printer plugs. They really should be in the back, otherwise you end up with wires coming out of sides of laptop and hindering viable desk space on sides of the laptop",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,23/1/2014,1/5,"It's a very small laptop, so small that if you barely touch the mousepad with your wrist the screen will jump all over the place. Very inconvenient to type on, but good to watch some online shows where space is limited. Do love that it is so light weight.
Overall not too bad, but the mousepad is a nightmare.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,22/1/2014,2/5,"Received my new laptop today and it is brilliant!! I got the one with 6GB ram and 1TB hard drive and it is so fast.
Windows 8 has taken a bit of getting use to but easy to pick up.
Excellent laptop for a great price only problem is that the buttons on the mouse pad are loud when you press them but that's not such a big problem.
I Would recommend this product!",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,22/1/2014,4/5,Great computer! The only downfall is the battery life. It only lasts 4-5 hours and then needs to be plugged in.,To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,22/1/2014,1/5,"I needed a basic laptop to handle my business needs and maybe a little personal stuff as well from time to time. This fit my needs. I am having a little bit of an issue with the touch pad. I have had to reset it 4 times because it is way to sensitive and keeps resetting itself to factory default after a reboot. The other problem with it is the black trim around the keypad is trash. It keeps popping out of the locks that hold it in place.
Though not Dell's problem Windows 8 has frozen up on me several times and most of the problem there is because of IE 10. I hate it and use chrome now.
Overall the laptop so far is doing the basic job I need it for and that is to handle sales, inventory, and email. I would not recommend this for a power user or someone who wants to do heavy internet usage.
The power button does not light up to show you are on or not. Also the power cable plugs in on the left side. Wish it had been centralized out the back for more convenience.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
Inspiron 15,ecommerce Website,12/1/2014,4/5,"have received my Dell Laptop today, all is great except it does not have the touch screen facility. On looking again is clearly states it has 'optional touch screen' facility included, when in fact is isn't. This is very misleading and there is no-where visible to actually add this feature as a 'paid extra'. I took 'optional' as meaning you either have it switched on or off. Have tried ringing Dell today, on phone for 38 minutes, transferred at least 9 times to different assistants and after repeating myself each time, gave up. Feel a bit disappointed.",To be derived,To be derived,To be derived,To be derived,To be derived,,,
